gen,evals,gen_feats,explored,Pam50 naive Bayes adjusted balanced accuracy_min,Pam50 naive Bayes adjusted balanced accuracy_avg,Pam50 naive Bayes adjusted balanced accuracy_max,Pam50 naive Bayes adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
0,500,1102,1102,0.19748449529512405,0.4715110112652344,0.6929826394715695,0.11809322466859144,0.14002800840280097,0.25175420459816383,1.0,0.15782376525944852
1,510,1345,1388,0.19748449529512405,0.49865369079851235,0.6929826394715695,0.11842240587254334,0.13018891098082386,0.2709889701947552,1.0,0.13555197019657605
2,500,1343,1630,0.2,0.5226261490518622,0.6966224377969966,0.11679434303320957,0.1270001270001905,0.2747158368714037,1.0,0.13965106052502932
3,500,1378,1847,0.2,0.5445531511907832,0.7141685016842596,0.11372909211811559,0.12598815766974242,0.2701780193946505,1.0,0.1377194365052411
4,500,1431,2095,0.2,0.5558385826603799,0.7311334994058363,0.11155771714898374,0.12598815766974242,0.27385884705124736,1.0,0.13709912677757807
5,500,1435,2335,0.2,0.5673602925556952,0.7311334994058363,0.109885426974229,0.12598815766974242,0.2745104065043125,1.0,0.13674385814846832
6,500,1438,2538,0.2,0.5782505619059216,0.7311334994058363,0.10974395121341105,0.125,0.27352186500305403,1.0,0.13798284786607984
7,500,1418,2744,0.2,0.5914149392517085,0.7311334994058363,0.1076976791037109,0.125,0.2683061881517206,1.0,0.13618274937434788
8,500,1459,2959,0.2,0.5960982605789787,0.743375718658377,0.11024910814592177,0.125,0.2727911602823052,1.0,0.13844655133917969
9,500,1442,3165,0.2,0.6083823607995902,0.7515823146939205,0.10823009901169847,0.12403473458920845,0.26741470682294244,1.0,0.13687313543339608
10,500,1442,3353,0.2,0.6161140412016023,0.7602061384749298,0.111168908883322,0.12309149097933274,0.26807391064227204,1.0,0.14122989167280192
11,500,1417,3541,0.2,0.6213416462188405,0.7606476000493886,0.11148580917061966,0.11704114719613055,0.2700623625203359,1.0,0.14096328942381303
12,500,1491,3715,0.2,0.6322665237876945,0.7610904771113958,0.11018539705308612,0.11785113019775792,0.26515366159069925,1.0,0.13863792241576484
13,500,1488,3907,0.2,0.6412942016854876,0.7646128112878822,0.10885648834216936,0.11396057645963795,0.2642568016431743,1.0,0.13764741626329535
14,500,1468,4084,0.2,0.6461924990500884,0.7727155224752137,0.10844018437579854,0.11396057645963795,0.2674271836652082,1.0,0.13597274857349076
15,500,1506,4275,0.2,0.6518998587923266,0.7727155224752137,0.10838683224372923,0.12126781251816648,0.26861501148231925,1.0,0.1355029353431558
16,500,1478,4468,0.2,0.6560658350933132,0.7734161632306134,0.10841219125738084,0.12126781251816648,0.2708716642820025,1.0,0.1353771768741828
17,500,1484,4635,0.2,0.6614648130089786,0.7800484258755217,0.10876960528964164,0.12309149097933274,0.2719182673132301,1.0,0.13489982058160224
18,500,1489,4848,0.2,0.6676008726736548,0.7800484258755217,0.10832790695843583,0.12309149097933274,0.27076431995399763,1.0,0.13484898971728596
19,500,1516,5025,0.2,0.6718767801972951,0.7800484258755217,0.10797396866038063,0.12403473458920845,0.2722768112806787,1.0,0.13442373516217737
20,500,1486,5203,0.2,0.6765866607267352,0.7846764732667271,0.10833880082062664,0.1270001270001905,0.27192322593223445,1.0,0.134287870740982
21,500,1447,5394,0.2,0.682094058166988,0.7846764732667271,0.10905484457564385,0.11867816581938534,0.2698992258176347,1.0,0.1348472813594262
22,500,1451,5546,0.2,0.6870210158203757,0.7887577758017799,0.10853561405329291,0.11785113019775792,0.26908115891509315,1.0,0.13443197864972725
23,500,1468,5745,0.2,0.6912238001440728,0.7932497871652457,0.10851838448671847,0.11624763874381928,0.26919800706150443,1.0,0.13539048786166402
24,500,1479,5898,0.2,0.6940642889375045,0.7966048081553911,0.10834225239275053,0.11624763874381928,0.2705697207645756,1.0,0.1352262389693897
25,500,1514,6076,0.2,0.6982303207068432,0.7977617688409919,0.10851972570639648,0.11624763874381928,0.2696671031104998,1.0,0.13574900813680174
26,500,1521,6237,0.2,0.7015267830367972,0.8097599230793369,0.10800782506922195,0.10846522890932808,0.27115028669102154,1.0,0.1352571259280871
27,500,1472,6391,0.2,0.7061935865026611,0.8097599230793369,0.10782755795024121,0.10721125348377948,0.27075084479075057,1.0,0.13553815230030525
28,500,1517,6547,0.2,0.7098105147531321,0.8129326275678309,0.10867996837521754,0.10721125348377948,0.27100544582655023,1.0,0.137052326112656
29,500,1516,6715,0.2,0.7148141634280993,0.8129326275678309,0.10596910061016883,0.10721125348377948,0.2690609567736051,1.0,0.1364012102559638
30,500,1487,6859,0.2,0.7175641297633714,0.8129326275678309,0.10662944945003433,0.10721125348377948,0.2717458320627305,1.0,0.13613821073975424
31,500,1512,7026,0.2,0.7194087144490923,0.8129326275678309,0.10764165264857731,0.10721125348377948,0.27329692629863006,1.0,0.13704029103878215
32,500,1517,7164,0.2,0.7250812899832597,0.8129326275678309,0.1047420239984519,0.10721125348377948,0.27037403237548324,1.0,0.1352656461619651
33,500,1441,7322,0.2,0.7269521816926638,0.8184044035988174,0.10506943773624026,0.10721125348377948,0.2714883208624677,1.0,0.1351800077035714
34,500,1493,7474,0.2,0.7298098941300584,0.8184044035988174,0.10534172176285457,0.11322770341445958,0.27082343359672323,1.0,0.1357970903813293
35,500,1460,7602,0.2,0.7321674110511035,0.8204051099782663,0.10614196377570655,0.10976425998969035,0.2691460464916299,1.0,0.13743966924644405
36,500,1484,7760,0.2,0.7365223708683112,0.8204051099782663,0.10409321385036745,0.1125087900926024,0.2659829587246659,1.0,0.1370807698673687
37,500,1450,7899,0.2,0.7406751129661389,0.8261823541911392,0.1028236451081392,0.1125087900926024,0.26282158962658525,1.0,0.13640104213121587
38,500,1497,8038,0.2,0.7435432842875426,0.8261823541911392,0.10262325404311681,0.1111111111111111,0.26111568732133317,1.0,0.13700612799507877
39,500,1511,8186,0.2,0.745806786256605,0.8261823541911392,0.10298162348747669,0.10540925533894598,0.2594517599542999,1.0,0.13783456013469228
40,500,1517,8322,0.2,0.7467570729098877,0.8261823541911392,0.10312665771777489,0.10540925533894598,0.26093249868914836,1.0,0.1365297385557801
41,500,1522,8473,0.2,0.7505794323093389,0.8261823541911392,0.10025653436054906,0.10540925533894598,0.25776000772609486,1.0,0.13446704758686662
42,500,1466,8591,0.2,0.7529597815902712,0.8297516723217953,0.0996941531166487,0.10540925533894598,0.25641804265261553,1.0,0.13332881171752356
43,500,1495,8718,0.2,0.7498654305367393,0.8297516723217953,0.10297863059464607,0.10540925533894598,0.2635572536767178,1.0,0.13489811790599557
44,500,1496,8837,0.2,0.7507557156534503,0.8297516723217953,0.10289352441327573,0.10540925533894598,0.2646751667551055,1.0,0.13427242933163147
