
OPTIMIZING FINAL MODEL ON WHOLE DATASET

COMPUTING LOCAL ACTIVE FEATURES
Computing active features for target column 0_PanKidney
Features before filter: 20227
Features after any na, zero variance, and anova filters: 18853
Features active in view: 18853

CREATING INNER FOLDS

RUNNING GENETIC ALGORITHM
Generations completed = 360
Generations completed = 651
Generations completed = 957
   	     	         	        	         PanKidney naive Bayes balanced accuracy         	                     leanness                    
   	     	         	        	---------------------------------------------------------	-------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std         	min      	avg      	max	std      
0  	500  	727      	727     	0.249485	0.764887	0.903744	0.144459    	0.0196078	0.0862271	1  	0.151729 
1  	374  	1140     	1181    	0.249485	0.781126	0.908813	0.137684    	0.016129 	0.0870772	1  	0.0972779
2  	367  	1255     	1631    	0.249485	0.797314	0.909899	0.137175    	0.016129 	0.0915068	1  	0.102689 
3  	369  	1244     	2019    	0.249485	0.809352	0.909899	0.129404    	0.016129 	0.0944598	1  	0.106655 
4  	379  	1239     	2409    	0.249485	0.821207	0.912428	0.12489     	0.015625 	0.0941579	1  	0.108118 
5  	357  	1238     	2817    	0.249485	0.831439	0.912513	0.117829    	0.0153846	0.0934337	1  	0.107321 
6  	370  	1281     	3241    	0.249485	0.840425	0.913487	0.114536    	0.0149254	0.091025 	1  	0.106665 
7  	380  	1249     	3631    	0.249485	0.844659	0.928555	0.112742    	0.0151515	0.0917283	1  	0.106405 
8  	367  	1144     	3994    	0.249485	0.846449	0.929569	0.116825    	0.0151515	0.0932687	1  	0.109451 
9  	352  	1140     	4356    	0.25    	0.848714	0.929569	0.118954    	0.0151515	0.0943628	1  	0.110854 
10 	346  	1166     	4705    	0.25    	0.851367	0.929569	0.118994    	0.0149254	0.094097 	1  	0.111048 
11 	380  	1159     	5095    	0.25    	0.857914	0.933082	0.11479     	0.0149254	0.0904234	1  	0.109088 
12 	362  	1097     	5427    	0.25    	0.864153	0.933653	0.109778    	0.0169492	0.0863633	1  	0.107125 
13 	375  	1105     	5749    	0.25    	0.866164	0.933653	0.107867    	0.0169492	0.0865679	1  	0.10704  
14 	366  	1039     	6063    	0.25    	0.869901	0.939848	0.107884    	0.0166667	0.0841033	1  	0.107074 
15 	377  	1110     	6404    	0.25    	0.873087	0.939848	0.102589    	0.0166667	0.0829914	1  	0.10475  
