gen,evals,gen_feats,explored,type naive Bayes balanced accuracy_min,type naive Bayes balanced accuracy_avg,type naive Bayes balanced accuracy_max,type naive Bayes balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,5066,5066,0.2,0.7825760214914727,0.8921958218719448,0.12435679111219033,0.14002800840280097,0.2473024827599826,1.0,0.14367151269042164
1,393,3932,5117,0.2,0.7656525231306308,0.8937605649095561,0.13543078390294683,0.125,0.2885821059112186,1.0,0.13984919168493845
2,384,2897,5192,0.2,0.7700542411436115,0.895648617437986,0.14074308351449594,0.125,0.30153342967496277,1.0,0.14304191457865784
3,367,2213,5241,0.2,0.7759659835408219,0.8988049183930291,0.13759902967187113,0.12216944435630522,0.31085091670177323,1.0,0.14232992117657017
4,373,1807,5296,0.2,0.7755808192469835,0.8994222023436464,0.14786956544876204,0.13736056394868904,0.3168230526244718,1.0,0.1516602637759948
5,374,1649,5344,0.2,0.777506785565987,0.9006137274755599,0.1491172235449861,0.13483997249264842,0.3274321440011277,1.0,0.1516367593225513
6,395,1393,5396,0.2,0.7735580300849526,0.9006917108458593,0.1468391385500302,0.1386750490563073,0.3472666159847956,1.0,0.15145666056398843
7,395,1230,5431,0.2,0.7809520797488892,0.9019612193480722,0.14492057669690714,0.1386750490563073,0.34729155784865695,1.0,0.15362201376674817
8,355,1119,5460,0.2,0.7884525730625985,0.9046007479902972,0.13917535437988848,0.1386750490563073,0.35033697491191,1.0,0.155900895727845
9,374,1075,5498,0.2,0.782954051567004,0.9213091973506853,0.14664786106432026,0.13608276348795434,0.36256113810734064,1.0,0.16283137311628607
10,376,1030,5539,0.2,0.7801165041404671,0.9213091973506853,0.15044199036965814,0.13608276348795434,0.3718666744845556,1.0,0.1636289399334183
11,380,959,5570,0.2,0.7915812431269941,0.9213091973506853,0.15287020065656726,0.13608276348795434,0.3647970979800127,1.0,0.17070386381759828
12,361,937,5595,0.2,0.7922776441862114,0.9213091973506853,0.15092592019518394,0.13608276348795434,0.37304366129707306,1.0,0.17331807061868432
13,357,946,5618,0.2,0.801422325995925,0.9213091973506853,0.14782318789799814,0.13483997249264842,0.36602342187385156,1.0,0.16889783955349866
14,372,912,5633,0.2,0.8014571908510504,0.9213091973506853,0.15082239511419093,0.15075567228888181,0.3702949814956673,1.0,0.17369076856911272
15,382,870,5650,0.2,0.7923676353232872,0.9213091973506853,0.15465261411484177,0.15075567228888181,0.38885242988239627,1.0,0.1766710758511845
16,377,834,5670,0.2,0.8015133489582708,0.9213091973506853,0.15110504201957514,0.15075567228888181,0.38711132147947236,1.0,0.1741349593670638
17,373,816,5687,0.2,0.8116199618585715,0.9251832938941448,0.14233052828246603,0.15075567228888181,0.37987168149576567,1.0,0.1685599212552196
18,367,829,5710,0.2,0.8105979367969631,0.9251832938941448,0.14352972946403206,0.14744195615489714,0.38333158775402854,1.0,0.17110493451827785
19,369,820,5728,0.2,0.8149218999961608,0.9304436384671169,0.1427149659656043,0.15249857033260467,0.38064469778343096,1.0,0.17438962731504531
20,373,765,5738,0.2,0.8161153483331791,0.9304436384671169,0.1482643708189152,0.15249857033260467,0.37771696198062593,1.0,0.18056579983185692
21,356,721,5752,0.2,0.8222007342590062,0.9304436384671169,0.14622444792785952,0.15249857033260467,0.37304664369097507,1.0,0.18167420849161667
22,389,734,5765,0.2,0.812447956734421,0.9304436384671169,0.15429360842355264,0.15249857033260467,0.38719896092242007,1.0,0.18938551213821134
23,356,668,5768,0.2,0.8063970173186203,0.9304436384671169,0.16195073428136422,0.15249857033260467,0.3982884349908495,1.0,0.1927810968240754
24,375,730,5781,0.2,0.8315170638260088,0.9304436384671169,0.14884401465591765,0.18257418583505536,0.3636280050642107,1.0,0.1871523743015975
25,390,734,5790,0.2,0.8367450371981383,0.9304436384671169,0.1472182088275949,0.17149858514250885,0.3615450924379418,1.0,0.18264288908317922
26,371,715,5803,0.2,0.8280286568748194,0.9304436384671169,0.15206591410759446,0.18569533817705186,0.37899006889043335,1.0,0.18575871770084973
27,369,687,5810,0.2,0.8170365011869442,0.9304436384671169,0.15770333229771133,0.1796053020267749,0.3998022406943098,1.0,0.18963461201671633
28,378,635,5816,0.2,0.8046825000936225,0.9304436384671169,0.1710804656040525,0.1796053020267749,0.41557199104839976,1.0,0.19878912898094467
29,364,615,5819,0.2,0.8090314326682725,0.9304436384671169,0.17709335411167348,0.18569533817705186,0.40785183777565887,1.0,0.20750332188491935
30,370,633,5822,0.2,0.8020692595254061,0.9304436384671169,0.1859537573271424,0.18569533817705186,0.4186247969259575,1.0,0.21465948203524277
31,353,583,5829,0.2,0.7991657877933768,0.9310958630187125,0.19246026054351228,0.18569533817705186,0.4220597088414434,1.0,0.2205800310054826
32,385,609,5832,0.2,0.7949579395243793,0.9343526756115548,0.19354739358266818,0.17407765595569785,0.42649126696900475,1.0,0.22550427231302747
33,362,609,5840,0.2,0.7873648233056046,0.9343526756115548,0.20375724988933483,0.17149858514250885,0.44194432279502616,1.0,0.22848094225621549
34,371,581,5846,0.2,0.8214736731345053,0.9343526756115548,0.17326826408034027,0.1690308509457033,0.40756119372303945,1.0,0.2030536275151724
35,354,577,5851,0.2,0.8326303208105372,0.9343526756115548,0.16413084201010555,0.1690308509457033,0.3937638569155552,1.0,0.19670072340625738
36,360,578,5860,0.2,0.8221166870516279,0.9350049001631504,0.1615818058069633,0.16666666666666666,0.4111196944404576,1.0,0.1962488935977381
37,366,552,5861,0.2,0.8329247881600941,0.9362394680643848,0.14829396382070725,0.16666666666666666,0.4111904471735561,1.0,0.17847537342002248
38,367,570,5866,0.2,0.8457779385963982,0.9362394680643848,0.14498982747160039,0.16666666666666666,0.39061448787920283,1.0,0.17628826190842445
39,348,556,5867,0.2,0.8321793655672448,0.9362394680643848,0.1639240297854553,0.16666666666666666,0.4067451016570029,1.0,0.1912862886373721
40,353,555,5870,0.2,0.8254740529943047,0.9362394680643848,0.16985485838484493,0.17149858514250885,0.4173644038588058,1.0,0.19648765225819392
41,359,561,5872,0.2,0.8341900918489125,0.9362394680643848,0.16495729004756687,0.17149858514250885,0.40598541097157054,1.0,0.19238405361652766
42,390,571,5873,0.2,0.8341279884930367,0.9362394680643848,0.1725487120460753,0.17149858514250885,0.407041633008358,1.0,0.19385851980282218
43,371,569,5874,0.2,0.8175375593207085,0.9372299699207,0.18813067784669724,0.17149858514250885,0.4285478964752497,1.0,0.20507669334674636
44,395,570,5878,0.2,0.8138543096351974,0.9372299699207,0.19255341876234847,0.17149858514250885,0.43710475469604526,1.0,0.20643421682035465
45,368,545,5879,0.2,0.7985650321013091,0.9372299699207,0.2064666037649701,0.17149858514250885,0.4569216552285534,1.0,0.21489553936215083
46,363,556,5880,0.2,0.7926718405841853,0.9372299699207,0.2059228548278053,0.17149858514250885,0.4704064837974238,1.0,0.2117976354727373
47,369,563,5880,0.2,0.8084412658271972,0.9372299699207,0.20101293218822255,0.17149858514250885,0.44321726314364185,1.0,0.21536695166973546
48,363,548,5881,0.2,0.8067731408879929,0.9372299699207,0.20895537522934488,0.17149858514250885,0.4452836991400279,1.0,0.21955409420535604
49,375,571,5884,0.2,0.7938028316842829,0.9372299699207,0.22656128584632798,0.17149858514250885,0.45141971596972696,1.0,0.2377677921684984
50,354,555,5886,0.2,0.7947214173518768,0.9378472538713172,0.22723927608850852,0.23570226039551584,0.4529970031772148,1.0,0.23629201962082727
51,371,507,5889,0.2,0.7977581535488085,0.9378472538713172,0.2191425050234482,0.23570226039551584,0.4586983749316835,1.0,0.22694397345685838
52,364,497,5890,0.2,0.7934325832703883,0.9378472538713172,0.2255775371355085,0.23570226039551584,0.4583999932477227,1.0,0.23522208341992742
53,366,502,5890,0.2,0.789213442839791,0.9378472538713172,0.23157749189989682,0.23570226039551584,0.4545306126422385,1.0,0.24709038595846292
54,375,501,5890,0.2,0.7441048407158453,0.9409336736244038,0.24903425440899046,0.23570226039551584,0.5130259167367888,1.0,0.25633171108529457
55,351,495,5891,0.2,0.6840154406366609,0.9409336736244038,0.25586062718454605,0.23570226039551584,0.59657649518484,1.0,0.23763630883106968
56,364,498,5892,0.2,0.7014193778900776,0.9409336736244038,0.25333303648822125,0.24253562503633297,0.5821317298880633,1.0,0.23317017217986444
57,357,509,5892,0.2,0.7572249268155158,0.9409336736244038,0.2370464520032176,0.24253562503633297,0.5168368717521314,1.0,0.2322753345561759
58,365,534,5894,0.2,0.7624381097499939,0.9452814997113602,0.23452063241957705,0.23570226039551584,0.5141963686349269,1.0,0.22696310491533855
59,369,518,5895,0.2,0.7829476801537151,0.9452814997113602,0.2249469036313245,0.23570226039551584,0.4919653385045809,1.0,0.21949929457724404
60,359,450,5895,0.2,0.7882467285493326,0.9452814997113602,0.2188377698699934,0.23570226039551584,0.4934040752632628,1.0,0.20863235640390515
61,343,460,5895,0.2,0.7990370864508427,0.9452814997113602,0.21932330338650577,0.23570226039551584,0.47099084752328135,1.0,0.21765144234263634
62,360,511,5896,0.2,0.8079245536211629,0.9452814997113602,0.2151779871772935,0.23570226039551584,0.4570546156293617,1.0,0.21788763401312874
63,357,488,5896,0.2,0.8098531747192562,0.9458987836619774,0.21363543074933053,0.22360679774997896,0.45470892380079725,1.0,0.21679085549072682
64,359,521,5897,0.2,0.8077127635530551,0.9458987836619774,0.21745688017777004,0.22360679774997896,0.45340234280412356,1.0,0.2219615393043159
65,365,494,5897,0.2,0.8099442486734465,0.9458987836619774,0.215726161258483,0.22941573387056177,0.4508016159955821,1.0,0.22081266608597647
66,357,498,5897,0.2,0.8118709102008891,0.9458987836619774,0.21415645590297847,0.22941573387056177,0.44877579557893593,1.0,0.21932185627476974
67,365,517,5897,0.2,0.8283544104412455,0.9471252493948693,0.20333457626649112,0.22360679774997896,0.4279393384707653,1.0,0.21094786741357813
68,367,543,5897,0.2,0.8309946849304615,0.9471252493948693,0.20129003853942878,0.22360679774997896,0.42507560850786363,1.0,0.20918850384655938
69,348,493,5897,0.2,0.8346842601954836,0.9471252493948693,0.19899343057128768,0.22360679774997896,0.4198648269590855,1.0,0.2072206956687825
70,379,544,5897,0.2,0.8284417191246737,0.9471252493948693,0.20338640920504342,0.22360679774997896,0.4283560260648137,1.0,0.2111580718325744
71,381,558,5897,0.2,0.8365489786204032,0.9471252493948693,0.1978139594055671,0.22360679774997896,0.41525609544585923,1.0,0.20922938311409145
72,371,502,5897,0.2,0.837510275292367,0.9471252493948693,0.19765595209973336,0.22360679774997896,0.4135882185922106,1.0,0.20918166092118523
73,377,519,5898,0.2,0.842766368016973,0.9521253000334214,0.19310670319001882,0.21821789023599236,0.40793643050342165,1.0,0.20432771913694614
74,372,539,5898,0.2,0.8367530591691461,0.9521253000334214,0.1972767028006746,0.21821789023599236,0.41676535039228685,1.0,0.20718689579079227
75,376,495,5898,0.2,0.8448847021640561,0.9521253000334214,0.19115001809597207,0.21821789023599236,0.4044105699390501,1.0,0.20360924808679692
76,370,526,5898,0.2,0.8290429806369952,0.9521253000334214,0.2011122262879364,0.21821789023599236,0.43104396379139776,1.0,0.20761398858570962
77,356,494,5898,0.2,0.8285779743024657,0.9521253000334214,0.20035505544182747,0.21821789023599236,0.4338763142349562,1.0,0.20597382672262726
78,381,521,5898,0.2,0.8311542005150059,0.9521253000334214,0.19768484546326504,0.21821789023599236,0.43224904167193823,1.0,0.2031885947181338
79,369,507,5898,0.2,0.8447324237236198,0.9521253000334214,0.18732356577150258,0.21821789023599236,0.4126732792955633,1.0,0.19699247266257608
80,360,509,5898,0.2,0.844514012181987,0.9533598679346561,0.1871356761772592,0.22941573387056177,0.4143438973758093,1.0,0.1950260264710141
81,365,505,5898,0.2,0.8441896666028386,0.9533598679346561,0.18711502490337917,0.22941573387056177,0.4149111356408582,1.0,0.19507345976259863
82,357,485,5898,0.2,0.8414487604506784,0.9533598679346561,0.1926632661729794,0.22941573387056177,0.41489130716617434,1.0,0.20111455640364848
83,371,517,5898,0.2,0.8415601511101501,0.9533598679346561,0.19272214648305727,0.22941573387056177,0.4145529061272277,1.0,0.20137576086338022
84,359,527,5900,0.2,0.8532873572022271,0.9533598679346561,0.18357887711146686,0.22941573387056177,0.3974767250608159,1.0,0.19568794385550245
