gen,evals,gen_feats,explored,type naive Bayes balanced accuracy_min,type naive Bayes balanced accuracy_avg,type naive Bayes balanced accuracy_max,type naive Bayes balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,443,443,0.2,0.8162146349522418,0.9281296369702183,0.15055380343786443,0.14002800840280097,0.24674899049147786,1.0,0.15703604292731196
1,542,682,686,0.2,0.8171862172469273,0.9281296369702183,0.13485750313975278,0.1336306209562122,0.2703595061024612,1.0,0.13292421292677398
2,552,704,902,0.2,0.8293610567659953,0.9281296369702183,0.12251112840752694,0.13483997249264842,0.2762946565604245,1.0,0.13555596221959176
3,542,720,1101,0.2,0.8312488457591459,0.9281296369702183,0.12027797970117489,0.13130643285972254,0.28475496332728184,1.0,0.13677101020177607
4,538,764,1322,0.2,0.8376541031658203,0.9316419739263784,0.11523571700621867,0.13018891098082386,0.2858764686596418,1.0,0.13620010431709884
5,532,780,1519,0.2,0.8438871611226758,0.9316419739263784,0.11148708309813912,0.13018891098082386,0.28543638931204185,1.0,0.1364320031210826
6,542,771,1699,0.2,0.8476379902915537,0.9355805131887538,0.10995462780817854,0.13736056394868904,0.2875290333393577,1.0,0.1348319208470666
7,552,770,1853,0.2,0.8500763993281255,0.9355805131887538,0.10819040259346452,0.1386750490563073,0.29072314998994275,1.0,0.13288698030495302
8,537,814,2042,0.2,0.851480153790735,0.9363153450725259,0.10655574439680097,0.14433756729740643,0.29507524429106824,1.0,0.13450062698690063
9,555,804,2206,0.2,0.855137114610194,0.9439487332807825,0.10565320774411437,0.14433756729740643,0.29390492550252045,1.0,0.13570275137179338
10,554,787,2346,0.2,0.8578780114306288,0.9439487332807825,0.104601740160339,0.14002800840280097,0.29450135687326906,1.0,0.13527948956528846
11,541,787,2492,0.2,0.8614723418052288,0.9439487332807825,0.10206693761028422,0.13736056394868904,0.29442668838163727,1.0,0.13453196321769764
12,550,793,2633,0.2,0.8634491336376501,0.9448847257928424,0.10183593906260319,0.1386750490563073,0.29524083727454375,1.0,0.134865029199535
13,560,830,2768,0.2,0.8649886930545081,0.9448847257928424,0.1007733636751312,0.14586499149789456,0.2972779882868799,1.0,0.13337357098273547
14,567,803,2884,0.2,0.8667751162377536,0.9448847257928424,0.10074656508138075,0.14285714285714285,0.29776557890221195,1.0,0.13333126009500829
15,560,793,2995,0.2,0.8665715716133677,0.9468838230060787,0.10189405941029245,0.1414213562373095,0.30116415571025185,1.0,0.13582710886324043
16,553,820,3112,0.2,0.868025125458051,0.9468838230060787,0.10103611865869253,0.14586499149789456,0.3028254110284553,1.0,0.13626260966927656
17,550,834,3233,0.2,0.8712390172347672,0.9468838230060787,0.09902468130177511,0.14586499149789456,0.3017554648675653,1.0,0.13516673018900782
18,547,834,3330,0.2,0.8725238470293782,0.9468838230060787,0.09784627010287449,0.14586499149789456,0.30489407617522224,1.0,0.1341266937930596
19,554,836,3442,0.2,0.8731418532801271,0.9468838230060787,0.09941272390313857,0.14586499149789456,0.30603695685869525,1.0,0.13531974431209567
20,558,824,3535,0.2,0.8739137081397728,0.9468838230060787,0.10014797303397188,0.14586499149789456,0.3069737695931332,1.0,0.13623947273907125
21,547,837,3627,0.2,0.8751037294508632,0.9468838230060787,0.09951222746244162,0.14285714285714285,0.308177041262702,1.0,0.13545652036712325
22,542,831,3728,0.2,0.8761607485778607,0.9506337145022737,0.09931850448713968,0.1543033499620919,0.3100342025844546,1.0,0.13420958353709042
23,547,839,3811,0.2,0.8760912584259396,0.9506337145022737,0.10122853544581241,0.15075567228888181,0.3124062408410906,1.0,0.13613444454743762
24,546,832,3893,0.2,0.8784473542967175,0.9525028733807783,0.10103569297420129,0.15075567228888181,0.3087436324072895,1.0,0.1384077371290957
25,549,809,3978,0.2,0.8811620317539424,0.9525028733807783,0.09890380577616822,0.14907119849998599,0.30712550900781505,1.0,0.13651940765696302
26,562,840,4056,0.2,0.8820794791957797,0.9525028733807783,0.0986329544363629,0.1543033499620919,0.3078201680414215,1.0,0.13597188846772235
27,557,837,4130,0.2,0.8817049110770597,0.9525028733807783,0.10081535687803406,0.15617376188860607,0.3103332495527346,1.0,0.13708964536530918
28,563,821,4200,0.2,0.8813701662893265,0.9525028733807783,0.10064862012767523,0.15617376188860607,0.31329136593049084,1.0,0.13647095390115901
29,551,805,4273,0.2,0.8796229605514098,0.9525028733807783,0.1026676245520146,0.15617376188860607,0.31884116758538994,1.0,0.1369691379435147
30,541,778,4330,0.2,0.8831730641103809,0.9525028733807783,0.10022667323902705,0.15617376188860607,0.3150614569332847,1.0,0.13535450363253793
31,546,827,4395,0.2,0.8841613788063826,0.9525028733807783,0.10025936526490359,0.15249857033260467,0.3145517735585772,1.0,0.13550594232322447
32,543,801,4447,0.2,0.8846154227910968,0.9525028733807783,0.09990560976019187,0.15617376188860607,0.3159701259637379,1.0,0.13453984853566522
33,544,841,4501,0.2,0.8838371060046554,0.9530971410904048,0.10143204752539099,0.16222142113076254,0.31899901558843563,1.0,0.13482999908823898
34,562,809,4564,0.2,0.8850444979513711,0.9530971410904048,0.10143855550572774,0.1643989873053573,0.3171312391460078,1.0,0.13530074881195409
35,552,797,4611,0.2,0.8866410522531342,0.9530971410904048,0.09978536076680007,0.1643989873053573,0.31608878912162913,1.0,0.13410578897290898
36,549,801,4669,0.2,0.8873703871456391,0.9530971410904048,0.09986287305706276,0.1643989873053573,0.3154194100742495,1.0,0.13487536674831274
37,554,813,4723,0.2,0.8881370226502634,0.9555758082988566,0.09987842385706275,0.1643989873053573,0.31463557180489365,1.0,0.13545728932343595
38,551,809,4775,0.2,0.8877060733991712,0.9555758082988566,0.10007507490761294,0.16666666666666666,0.31652252257047997,1.0,0.1359083502642377
39,545,818,4814,0.2,0.8889586802742122,0.9555758082988566,0.09955100855301141,0.1690308509457033,0.316710505335128,1.0,0.13320453463560256
40,564,821,4859,0.2,0.8866741370413612,0.9555758082988566,0.10153425279235577,0.1690308509457033,0.32106325644682715,1.0,0.13496571219726913
41,559,805,4895,0.2,0.8854958156894409,0.9555758082988566,0.10339348017197693,0.1690308509457033,0.32392579295350676,1.0,0.1354577192370567
42,549,799,4933,0.2,0.8853697590857578,0.9555758082988566,0.10262303419960506,0.17149858514250885,0.3264750294958427,1.0,0.13473200750524406
43,550,781,4963,0.2,0.8855057140708255,0.9555758082988566,0.10263470016354055,0.17149858514250885,0.32718274293739286,1.0,0.13445165371217244
44,553,789,5005,0.2,0.8860827881288096,0.9555758082988566,0.10221805475380343,0.17149858514250885,0.3272725987299085,1.0,0.13468435766181178
45,547,782,5031,0.2,0.8887654627556152,0.9555758082988566,0.10041626018136754,0.17149858514250885,0.32335909134037305,1.0,0.13315487665302916
46,549,811,5080,0.2,0.8867009254426303,0.9555758082988566,0.10239752455328585,0.17149858514250885,0.3285811058329673,1.0,0.13367355400598052
47,551,781,5106,0.2,0.8860116856156306,0.9555758082988566,0.10276493112762611,0.17149858514250885,0.3317074255253913,1.0,0.13267805142663422
48,562,799,5136,0.2,0.8820983577336311,0.9555758082988566,0.1058928810453401,0.1796053020267749,0.3404103658306657,1.0,0.13279802204640423
49,552,831,5176,0.2,0.8806994700296495,0.9555758082988566,0.1077571359582747,0.1796053020267749,0.34348733376489593,1.0,0.1339563068195242
50,544,798,5211,0.2,0.881079995114177,0.9555758082988566,0.10724548847656734,0.1796053020267749,0.3439267793128701,1.0,0.13359118802880485
51,533,811,5240,0.2,0.8828909600966994,0.9555758082988566,0.10562160489643506,0.1796053020267749,0.34222020059222213,1.0,0.13270866123946481
52,546,780,5261,0.2,0.8798836464271309,0.9555758082988566,0.10916528112254041,0.1796053020267749,0.347628196301014,1.0,0.13415983060513992
53,532,790,5287,0.2,0.8801169440921054,0.9555758082988566,0.1085654463727256,0.1796053020267749,0.3490291900684686,1.0,0.13380213059185708
54,544,782,5316,0.2,0.8804992903816217,0.9555758082988566,0.10835060785322884,0.1796053020267749,0.34903272555334947,1.0,0.133863020090491
55,542,795,5342,0.2,0.8799566455338871,0.9555758082988566,0.10970273774968911,0.17149858514250885,0.3508487735672125,1.0,0.1339248567066426
56,540,811,5366,0.2,0.8789709167537549,0.9555758082988566,0.10956255311456409,0.17149858514250885,0.35563229466529583,1.0,0.13213246580749835
57,552,798,5391,0.2,0.8771433049647888,0.9555758082988566,0.11018664555361425,0.16222142113076254,0.3594341318578208,1.0,0.13290023732835232
58,544,788,5408,0.2,0.8754064727114853,0.9555758082988566,0.11211783165372119,0.16222142113076254,0.3615857870998638,1.0,0.13471948176179102
59,535,790,5425,0.2,0.8794864979636304,0.9555758082988566,0.10905156125051749,0.17149858514250885,0.35601922510942846,1.0,0.13341821709740012
60,540,805,5441,0.2,0.8794578490698093,0.9555758082988566,0.11057762809311887,0.1796053020267749,0.35638870058365135,1.0,0.13367849995072137
61,539,793,5461,0.2,0.8795651124286332,0.9555758082988566,0.11102503362838018,0.1796053020267749,0.35722903695043945,1.0,0.1338853403529213
62,547,757,5473,0.2,0.8772779475180426,0.9555758082988566,0.11251290697644234,0.1796053020267749,0.3612853641872081,1.0,0.13469306546353563
63,532,783,5492,0.2,0.882012047483845,0.9555758082988566,0.10929330281067724,0.1796053020267749,0.35468912676931574,1.0,0.13315268353898801
64,541,780,5508,0.2,0.882669594452536,0.9555758082988566,0.10947373637838337,0.1690308509457033,0.3528595380879556,1.0,0.13421738260411503
65,552,742,5524,0.2,0.8818201832592572,0.9555758082988566,0.10943232947818735,0.1796053020267749,0.35616873236360574,1.0,0.13337379721422
66,556,786,5542,0.2,0.8831456859843428,0.9555758082988566,0.10975023066463861,0.1796053020267749,0.3526053917448495,1.0,0.1350585423994667
67,556,798,5557,0.2,0.8811768778620189,0.9555758082988566,0.11190194791908598,0.1796053020267749,0.35638434357859616,1.0,0.1351195754531214
68,538,762,5574,0.2,0.8802782307558686,0.9555758082988566,0.11319011274446783,0.1796053020267749,0.3598527527759195,1.0,0.13415843507204286
69,540,788,5584,0.2,0.8816779725054087,0.9555758082988566,0.11142493039812769,0.1796053020267749,0.35848315757550425,1.0,0.1337289853214854
70,533,790,5594,0.2,0.8801474797903907,0.9555758082988566,0.11350525488645898,0.1796053020267749,0.3611675380225742,1.0,0.13431547469156252
71,551,766,5611,0.2,0.8796275483228072,0.9555758082988566,0.11326005236702136,0.1767766952966369,0.36319137204729557,1.0,0.1338089480609006
72,545,756,5621,0.2,0.8787816115512522,0.9555758082988566,0.11520607005574401,0.1767766952966369,0.36384576319208056,1.0,0.13501811652306003
73,546,754,5632,0.2,0.8758787995505598,0.9555758082988566,0.11674490902365292,0.1767766952966369,0.3690613581617762,1.0,0.13531172516825302
74,540,774,5654,0.2,0.8764401728340283,0.9555758082988566,0.11645798261594337,0.1767766952966369,0.36899674225253054,1.0,0.1354525385272003
75,535,766,5663,0.2,0.8790743672663648,0.9555758082988566,0.11389008471623066,0.17407765595569785,0.3666570117703154,1.0,0.1342981627726471
76,543,783,5673,0.2,0.8804741312603429,0.9555758082988566,0.11335760898303647,0.1690308509457033,0.36395453523361343,1.0,0.13485220191301364
77,548,776,5684,0.2,0.8779431990507506,0.9555758082988566,0.11491008518741497,0.1690308509457033,0.36858706040128775,1.0,0.13481290833775192
78,548,766,5695,0.2,0.8796167096506381,0.9555758082988566,0.11336584579979524,0.1767766952966369,0.36690028427646965,1.0,0.13425528962434682
79,547,738,5701,0.2,0.8779776491512027,0.9555758082988566,0.11502158771201204,0.17407765595569785,0.3699541404511325,1.0,0.13432881557636825
80,542,763,5711,0.2,0.8772865268598371,0.9555758082988566,0.11453031231661945,0.17407765595569785,0.37176793092572097,1.0,0.13454489478963194
81,540,765,5721,0.2,0.8805261329024633,0.9555758082988566,0.11271366679644282,0.17407765595569785,0.3673015270061766,1.0,0.13387770705759272
82,561,762,5726,0.2,0.8783442075807834,0.9555758082988566,0.1152085047014235,0.17407765595569785,0.3704676132480297,1.0,0.13427000239166756
83,549,762,5736,0.2,0.8785592196603887,0.9555758082988566,0.11524715620031667,0.17407765595569785,0.36930088884574913,1.0,0.13541833474421117
84,552,778,5741,0.2,0.8787198822788668,0.9555758082988566,0.1144730135940141,0.17149858514250885,0.36839136182778714,1.0,0.13661434680637827
85,538,775,5744,0.2,0.8786413573433658,0.9555758082988566,0.1144248787785998,0.17149858514250885,0.37123353345169413,1.0,0.13474054034244606
86,545,762,5749,0.2,0.8763883159030894,0.9555758082988566,0.11602433542624072,0.17149858514250885,0.37616777931750106,1.0,0.13344197321567963
87,550,785,5754,0.2,0.8746856178982885,0.9555758082988566,0.11748180673210655,0.17149858514250885,0.3774940175035241,1.0,0.13542279564107496
88,540,790,5761,0.2,0.8771482683298767,0.9555758082988566,0.11580069210291231,0.17149858514250885,0.37482365050374244,1.0,0.13437712112963404
89,550,818,5766,0.2,0.8773809092175509,0.9555758082988566,0.115899652747676,0.1690308509457033,0.37315079921157623,1.0,0.13582651499485923
90,548,793,5770,0.2,0.8744067441198518,0.9555758082988566,0.1175836988098802,0.1690308509457033,0.3792391102661487,1.0,0.13447142956557703
91,547,805,5775,0.2,0.8725028461976828,0.9555758082988566,0.11955474414901364,0.1690308509457033,0.38243478440144507,1.0,0.1345028101741626
92,541,768,5779,0.2,0.8731915536049407,0.9555758082988566,0.11891892294767129,0.1690308509457033,0.3811926038185303,1.0,0.13487773647071777
93,549,790,5786,0.2,0.8753582208707087,0.9555758082988566,0.11712820721495582,0.16666666666666666,0.3764212325520928,1.0,0.1363473061555491
94,530,780,5791,0.2,0.8775287036848768,0.9555758082988566,0.1155459819718288,0.16666666666666666,0.37582552079511233,1.0,0.13364347509567076
95,552,770,5799,0.2,0.8716642075214475,0.9555758082988566,0.12076588522673196,0.17149858514250885,0.3847268209205901,1.0,0.13411134842429298
96,545,751,5803,0.2,0.8690950355111502,0.9555758082988566,0.12177621154408612,0.17149858514250885,0.38852982910011413,1.0,0.13511519082356496
97,531,755,5807,0.2,0.8726631151447605,0.9555758082988566,0.11867972030956313,0.17149858514250885,0.38449626749625343,1.0,0.13394575049708546
98,544,764,5811,0.2,0.8706099577657664,0.9555758082988566,0.12037258960722698,0.1690308509457033,0.3859646064723191,1.0,0.13613670560221425
99,532,784,5815,0.2,0.8715842177182399,0.9555758082988566,0.12019645806225375,0.1690308509457033,0.3852122758375205,1.0,0.13560303027703494
100,539,746,5817,0.2,0.8718149127276167,0.9555758082988566,0.11989905549721694,0.1690308509457033,0.38510454872945254,1.0,0.135332438262987
101,540,780,5821,0.2,0.8737874260091928,0.9555758082988566,0.11830517393690859,0.17149858514250885,0.38181361451498974,1.0,0.13563651049263065
102,543,756,5824,0.2,0.8761619695650859,0.9555758082988566,0.11688715637519716,0.17149858514250885,0.3788039604692639,1.0,0.13462874744224299
103,549,763,5827,0.2,0.8763002471358259,0.9555758082988566,0.11698190861447984,0.17407765595569785,0.3783352118860001,1.0,0.13524785330465028
104,535,788,5832,0.2,0.8785043370689197,0.9555758082988566,0.11551613299858363,0.17407765595569785,0.3766063165366878,1.0,0.13309106581723207
105,559,788,5839,0.2,0.8742238914758871,0.9555758082988566,0.11867925962777869,0.17407765595569785,0.38327071537297963,1.0,0.13328621739803592
