
OPTIMIZING ON FOLD NUMBER 4
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5882
Features active in total: 5882
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 61
Generations completed = 122
Generations completed = 184
Generations completed = 246
Generations completed = 307
Generations completed = 370
Generations completed = 432
Generations completed = 493
   	     	         	        	            type naive Bayes balanced accuracy           	                 root leanness                  
   	     	         	        	---------------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std      	min     	avg     	max	std     
0  	500  	441      	441     	0.2     	0.804987	0.91707 	0.134877 	0.140028	0.244576	1  	0.140407
1  	533  	662      	668     	0.198773	0.79562 	0.91707 	0.142154 	0.132453	0.269565	1  	0.129236
2  	531  	686      	866     	0.198773	0.799264	0.928873	0.145213 	0.132453	0.277958	1  	0.137784
3  	525  	742      	1090    	0.2     	0.809172	0.928873	0.134493 	0.13484 	0.279373	1  	0.135227
4  	542  	758      	1302    	0.2     	0.823019	0.928873	0.121912 	0.13484 	0.273174	1  	0.133518
5  	546  	792      	1518    	0.2     	0.828785	0.928873	0.116998 	0.136083	0.273374	1  	0.133265
6  	539  	791      	1697    	0.2     	0.83223 	0.928873	0.113057 	0.137361	0.275964	1  	0.134149
7  	548  	775      	1857    	0.2     	0.835085	0.928873	0.109418 	0.137361	0.278581	1  	0.13567 
8  	554  	824      	2034    	0.2     	0.839326	0.928873	0.104903 	0.137361	0.280131	1  	0.13452 
9  	545  	840      	2215    	0.2     	0.844423	0.928873	0.101223 	0.137361	0.279433	1  	0.134439
10 	540  	822      	2374    	0.2     	0.846627	0.928873	0.100268 	0.13484 	0.281092	1  	0.133743
11 	547  	837      	2524    	0.2     	0.850031	0.928873	0.0990309	0.13484 	0.280085	1  	0.134556
12 	543  	837      	2671    	0.2     	0.854367	0.928873	0.0978947	0.130189	0.27727 	1  	0.13545 
13 	543  	823      	2802    	0.2     	0.856914	0.928873	0.0957777	0.130189	0.278377	1  	0.134186
14 	558  	846      	2942    	0.2     	0.858224	0.930117	0.094245 	0.131306	0.279029	1  	0.135136
15 	561  	862      	3077    	0.2     	0.857305	0.930117	0.0960233	0.131306	0.283291	1  	0.137162
16 	560  	886      	3200    	0.2     	0.858048	0.930117	0.0954449	0.131306	0.285708	1  	0.136343
17 	552  	860      	3314    	0.2     	0.859487	0.930117	0.0947631	0.133631	0.286835	1  	0.135485
18 	538  	857      	3424    	0.2     	0.860741	0.931986	0.0947893	0.133631	0.287185	1  	0.135262
19 	548  	855      	3531    	0.2     	0.862161	0.935725	0.0949832	0.133631	0.287074	1  	0.135417
20 	557  	845      	3634    	0.2     	0.863273	0.935725	0.0949461	0.133631	0.286624	1  	0.1363  
21 	541  	850      	3721    	0.2     	0.867648	0.935725	0.0925378	0.124035	0.280872	1  	0.134716
22 	564  	874      	3822    	0.2     	0.865389	0.937103	0.0946636	0.121268	0.286574	1  	0.136226
23 	560  	859      	3897    	0.2     	0.864562	0.937103	0.0974828	0.121268	0.289037	1  	0.138775
24 	542  	868      	3977    	0.2     	0.86791 	0.937103	0.0940027	0.120386	0.286496	1  	0.136445
25 	546  	883      	4050    	0.2     	0.868723	0.938213	0.0940017	0.120386	0.28691 	1  	0.136426
26 	543  	892      	4141    	0.2     	0.870835	0.938223	0.0934801	0.120386	0.28378 	1  	0.138548
27 	552  	894      	4213    	0.2     	0.874511	0.938223	0.0907046	0.120386	0.278328	1  	0.136867
28 	548  	894      	4293    	0.2     	0.875718	0.938223	0.0901192	0.120386	0.277604	1  	0.1375  
29 	557  	867      	4365    	0.2     	0.877135	0.938223	0.0901964	0.120386	0.276808	1  	0.137596
30 	558  	877      	4433    	0.2     	0.87742 	0.940084	0.0900581	0.125988	0.279374	1  	0.136373
31 	556  	846      	4495    	0.2     	0.876232	0.942526	0.0926909	0.125988	0.28239 	1  	0.139633
32 	565  	864      	4548    	0.2     	0.873423	0.942526	0.0948455	0.125988	0.29025 	1  	0.139658
33 	540  	899      	4607    	0.2     	0.875753	0.942526	0.094117 	0.125988	0.286402	1  	0.138557
34 	557  	885      	4666    	0.2     	0.877124	0.942526	0.0916177	0.125988	0.28803 	1  	0.135284
35 	561  	876      	4718    	0.2     	0.875262	0.945636	0.0936111	0.125988	0.294249	1  	0.136419
36 	556  	880      	4761    	0.2     	0.876046	0.947668	0.0937995	0.125   	0.294352	1  	0.136067
37 	555  	887      	4807    	0.2     	0.874631	0.947668	0.0961453	0.123091	0.296914	1  	0.139054
38 	539  	876      	4856    	0.2     	0.876367	0.947668	0.0963609	0.123091	0.294308	1  	0.139575
39 	543  	865      	4916    	0.2     	0.878263	0.949972	0.0943385	0.125988	0.292172	1  	0.1383  
40 	546  	863      	4954    	0.2     	0.880151	0.949972	0.0943491	0.128037	0.289239	1  	0.140423
41 	550  	855      	4991    	0.2     	0.882881	0.949972	0.0920205	0.128037	0.28543 	1  	0.138848
42 	555  	883      	5033    	0.2     	0.883824	0.949972	0.0921119	0.127   	0.285199	1  	0.137993
43 	563  	879      	5074    	0.2     	0.884597	0.949972	0.0923829	0.133631	0.28464 	1  	0.138761
44 	564  	886      	5108    	0.2     	0.882326	0.949972	0.0944896	0.133631	0.289201	1  	0.140445
45 	561  	869      	5134    	0.2     	0.88503 	0.949972	0.0922053	0.138675	0.284959	1  	0.139014
46 	564  	850      	5175    	0.2     	0.883585	0.949972	0.0945317	0.138675	0.289078	1  	0.140368
47 	563  	858      	5198    	0.2     	0.883731	0.949972	0.0942408	0.138675	0.290682	1  	0.139246
48 	554  	862      	5225    	0.2     	0.8864  	0.949972	0.0919692	0.138675	0.286593	1  	0.137937
49 	547  	851      	5250    	0.2     	0.888415	0.951385	0.0920325	0.136083	0.282741	1  	0.137264
50 	555  	895      	5276    	0.2     	0.890705	0.951385	0.0898554	0.136083	0.280478	1  	0.135294
51 	557  	902      	5311    	0.2     	0.890864	0.951385	0.0898141	0.136083	0.281396	1  	0.134339
52 	563  	874      	5335    	0.2     	0.888492	0.951385	0.0930855	0.136083	0.28578 	1  	0.136119
53 	560  	839      	5360    	0.2     	0.891475	0.951385	0.0898909	0.136083	0.281843	1  	0.13378 
54 	553  	846      	5383    	0.2     	0.891637	0.951841	0.0898989	0.136083	0.283281	1  	0.13282 
55 	568  	839      	5403    	0.2     	0.891138	0.952472	0.0899152	0.136083	0.286331	1  	0.132205
56 	571  	855      	5425    	0.2     	0.88952 	0.95682 	0.0930242	0.136083	0.288387	1  	0.134887
57 	544  	857      	5440    	0.2     	0.891928	0.95682 	0.090219 	0.136083	0.286091	1  	0.132919
58 	552  	861      	5459    	0.2     	0.890583	0.95682 	0.0921981	0.136083	0.28955 	1  	0.134009
59 	564  	831      	5480    	0.2     	0.890888	0.95682 	0.0921947	0.136083	0.289103	1  	0.134257
60 	548  	867      	5500    	0.2     	0.890918	0.958058	0.0921851	0.136083	0.290797	1  	0.133355
61 	549  	841      	5517    	0.2     	0.891404	0.958058	0.092173 	0.136083	0.290451	1  	0.133558
62 	548  	864      	5531    	0.2     	0.891664	0.958058	0.0922254	0.136083	0.290707	1  	0.133525
63 	553  	845      	5547    	0.2     	0.889437	0.958058	0.0952129	0.136083	0.29535 	1  	0.135438
64 	555  	850      	5558    	0.2     	0.887478	0.958058	0.0974244	0.149071	0.299042	1  	0.137435
65 	547  	841      	5569    	0.2     	0.887457	0.958058	0.0973605	0.150756	0.300227	1  	0.136762
66 	548  	820      	5585    	0.2     	0.887878	0.958058	0.0967023	0.150756	0.300614	1  	0.136201
67 	549  	847      	5600    	0.2     	0.888562	0.958058	0.0965824	0.149071	0.29963 	1  	0.13604 
68 	548  	841      	5616    	0.2     	0.891558	0.958058	0.094327 	0.149071	0.294755	1  	0.135489
69 	541  	852      	5627    	0.2     	0.892324	0.958058	0.0940126	0.149071	0.293245	1  	0.136401
70 	554  	833      	5632    	0.2     	0.894897	0.958515	0.0917601	0.149071	0.289801	1  	0.133885
71 	546  	835      	5645    	0.2     	0.895333	0.958515	0.0918828	0.150756	0.289165	1  	0.134279
72 	541  	819      	5651    	0.2     	0.895632	0.958515	0.0919799	0.149071	0.289525	1  	0.133858
73 	561  	862      	5659    	0.2     	0.894145	0.958515	0.0928808	0.144338	0.292474	1  	0.134154
74 	559  	865      	5673    	0.2     	0.893418	0.958515	0.0947372	0.144338	0.293697	1  	0.135248
