gen,evals,gen_feats,explored,type naive Bayes balanced accuracy_min,type naive Bayes balanced accuracy_avg,type naive Bayes balanced accuracy_max,type naive Bayes balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,5129,5129,0.19752321981424148,0.7764652107207901,0.8910080932815898,0.1332699832264365,0.14002800840280097,0.23980689300887303,1.0,0.14358934009673963
1,382,4249,5207,0.19752321981424148,0.7454366175911714,0.8910080932815898,0.16007158070972863,0.12216944435630522,0.28937406868686183,1.0,0.15075198753577362
2,377,2991,5260,0.2,0.7393228910726753,0.8958104548626972,0.16393345493761605,0.1386750490563073,0.3134506620864182,1.0,0.157266010168371
3,379,2320,5311,0.2,0.7475406160104369,0.8958104548626972,0.1540682598281388,0.1386750490563073,0.3240387035139022,1.0,0.15333286143208816
4,378,1856,5353,0.2,0.761355105936831,0.9039100594685422,0.1526153353161361,0.1386750490563073,0.3236926590627074,1.0,0.1583455346223723
5,385,1721,5404,0.2,0.7638814024891838,0.9065915599994717,0.1530321785302533,0.13736056394868904,0.33089843672030717,1.0,0.16511520641951344
6,390,1430,5442,0.2,0.7602380360165569,0.9065915599994717,0.16483518766893537,0.13736056394868904,0.34151865378373,1.0,0.1718508214215503
7,357,1167,5479,0.2,0.7821353057731951,0.9065915599994717,0.1525449851485649,0.13736056394868904,0.3301347510105257,1.0,0.16664430981986905
8,373,1175,5518,0.2,0.7928622253988783,0.9100942102391395,0.14892028686788528,0.13608276348795434,0.3236465336885696,1.0,0.1664179543030491
9,369,1059,5541,0.2,0.799549156398622,0.9107134052855791,0.14980862243537277,0.13608276348795434,0.32232114392446465,1.0,0.16861453491427203
10,368,1065,5576,0.2,0.8166690379534528,0.9139624663308801,0.13117305452247288,0.13608276348795434,0.31001212112172866,1.0,0.1567794281818809
11,363,1089,5612,0.2,0.8005640463031789,0.9181803540831053,0.14092710439422573,0.1386750490563073,0.33880909853238084,1.0,0.16160443926082912
12,376,989,5630,0.2,0.795112945770252,0.9181803540831053,0.156046407370369,0.1386750490563073,0.3471325106249323,1.0,0.17061176715154222
13,373,965,5655,0.2,0.7865286287455332,0.9181803540831053,0.16201742723763876,0.13736056394868904,0.3643751549762219,1.0,0.17566832865808574
14,391,964,5678,0.2,0.7970472220525635,0.9181803540831053,0.15372976532892962,0.13736056394868904,0.3575150469199169,1.0,0.17386983030363165
15,377,927,5700,0.2,0.7973314847421895,0.9206668209853562,0.1512559488861641,0.13608276348795434,0.3656508931195085,1.0,0.1711192959514262
16,385,869,5717,0.2,0.8042351974047812,0.92286707882688,0.15474545097818548,0.13608276348795434,0.35893694057307346,1.0,0.17414453544165903
17,374,913,5734,0.2,0.8030503958582985,0.92286707882688,0.15633246719926294,0.13608276348795434,0.3658456953506685,1.0,0.17700065628790068
18,360,822,5748,0.2,0.798907638699611,0.9245522047201111,0.15774709406576057,0.15811388300841897,0.3795188825036643,1.0,0.17679179593357292
19,370,755,5756,0.2,0.8038673923272843,0.9245522047201111,0.16167514023990737,0.1543033499620919,0.3741634377051095,1.0,0.1832971681315702
20,387,770,5768,0.2,0.7990051320004448,0.9245522047201111,0.1677824399223493,0.16012815380508713,0.38200700700748746,1.0,0.18791215399658356
21,382,731,5776,0.2,0.8020180394989725,0.9256357291414457,0.16144495579571602,0.15617376188860607,0.3891163687051636,1.0,0.18625368557385183
22,374,741,5785,0.2,0.8113298865027744,0.9274799606831372,0.1591183913203055,0.15617376188860607,0.3821777311893963,1.0,0.1828907024258132
23,360,708,5794,0.2,0.8006054287635047,0.9274799606831372,0.1683222607320965,0.15617376188860607,0.3983895068905418,1.0,0.19154255504639697
24,362,694,5797,0.2,0.8022756345444293,0.9281088424460693,0.1601667234745851,0.17407765595569785,0.4100642971384417,1.0,0.18471368142438324
25,378,669,5802,0.2,0.8067866616678064,0.9281088424460693,0.16176010373212157,0.17149858514250885,0.4052574844760237,1.0,0.19228393878481076
26,379,639,5810,0.2,0.8017758379994994,0.9281088424460693,0.1690712663640354,0.17149858514250885,0.4139683281575403,1.0,0.1971513501400818
27,371,652,5819,0.2,0.7989683105828665,0.9281088424460693,0.17217743729822832,0.17149858514250885,0.4203539234754021,1.0,0.198961459727177
28,366,640,5823,0.2,0.7951257120330142,0.9310688595081785,0.1804482171315244,0.17407765595569785,0.42781688995531425,1.0,0.20258054300475506
29,378,621,5826,0.2,0.8139355981207412,0.9310688595081785,0.1715886375750341,0.17407765595569785,0.4058398837523082,1.0,0.19812553125138802
30,392,635,5829,0.2,0.8041164940900166,0.9337102992462258,0.17653020132045408,0.1889822365046136,0.42497102378322144,1.0,0.1975154403794985
31,379,588,5833,0.2,0.8081724184766457,0.9337102992462258,0.16959713952061933,0.1889822365046136,0.4266952169138992,1.0,0.1901896732352178
32,375,623,5835,0.2,0.8168407204179994,0.9368044946199824,0.17027595308590135,0.1889822365046136,0.415249827905322,1.0,0.19364403122897014
33,373,615,5840,0.2,0.8089902222472047,0.9368044946199824,0.1789779010243422,0.1889822365046136,0.4228296561025418,1.0,0.20306266456804767
34,372,615,5848,0.2,0.8047041469519525,0.9368044946199824,0.1901696766250278,0.1889822365046136,0.4217305900212372,1.0,0.21468168666340656
35,366,568,5852,0.2,0.7965253615257276,0.9368044946199824,0.19805707512209159,0.1889822365046136,0.43498172329704415,1.0,0.22061864288269728
36,352,526,5857,0.2,0.8049476797112076,0.9368044946199824,0.19282654131853574,0.18569533817705186,0.4295132841435646,1.0,0.21547181982502242
37,374,581,5860,0.2,0.8051508816724265,0.9368044946199824,0.20108122333265963,0.18569533817705186,0.42744055373438655,1.0,0.22535121246438983
38,380,539,5860,0.2,0.8023957777932792,0.9368044946199824,0.2068185454340605,0.19245008972987526,0.43567710432780393,1.0,0.22685439769490015
39,365,576,5864,0.2,0.7868950112668909,0.9368044946199824,0.22358679944770202,0.19245008972987526,0.4463835111135427,1.0,0.241609957283788
40,364,537,5864,0.2,0.7901457274106403,0.9368044946199824,0.227596370831748,0.19245008972987526,0.43457660686179805,1.0,0.24936110832837524
41,383,559,5868,0.2,0.7638619074714748,0.9379069265427727,0.24021436693708784,0.19245008972987526,0.4736574045884754,1.0,0.2532523773729468
42,350,561,5875,0.2,0.7698733658141571,0.9385261215892123,0.2398734320189561,0.2,0.4698532455182297,1.0,0.24998083382109026
43,359,506,5875,0.2,0.7808876474947296,0.9385261215892123,0.23517487607893517,0.2,0.4532063974775381,1.0,0.2491764293729833
44,373,542,5876,0.2,0.8085252728234168,0.9385261215892123,0.23438266631729857,0.2,0.42178034776927303,1.0,0.24578000086228824
45,369,529,5877,0.2,0.7803570614135344,0.9385261215892123,0.24322095092684642,0.2,0.46577006887539213,1.0,0.2471330690716098
46,348,508,5878,0.2,0.7741280312745985,0.9385261215892123,0.22988396041453849,0.2,0.4850042737039456,1.0,0.23394437825584602
