gen,evals,gen_feats,explored,type naive Bayes balanced accuracy_min,type naive Bayes balanced accuracy_avg,type naive Bayes balanced accuracy_max,type naive Bayes balanced accuracy_std,root separation_min,root separation_avg,root separation_max,root separation_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,395,395,0.19887745446323032,0.7918291702042383,0.9226794861247232,0.15080581279500596,0.0,0.5629013165227688,0.6430004188264329,0.09886904210282715,0.14002800840280097,0.27341029701356206,1.0,0.15952612624259188
1,673,622,622,0.2,0.8019778545145334,0.9226794861247232,0.11479652516769809,0.0,0.5780527100699453,0.6354814226598748,0.041091282735438064,0.1386750490563073,0.28821983829591385,1.0,0.11738546193386384
2,726,687,865,0.2,0.8136672402446324,0.9226794861247232,0.09616612430668488,0.0,0.5855228001007129,0.6430004188264329,0.037674446820881655,0.1386750490563073,0.2931958521104554,1.0,0.1161962382434416
3,725,673,1065,0.2,0.8098324179957826,0.9226794861247232,0.09644085460967562,0.0,0.5866874046405037,0.6432664977620199,0.03783322263944581,0.1386750490563073,0.30891267281484225,1.0,0.12023565760562716
4,736,719,1263,0.2,0.8063891695930228,0.9234170457667086,0.10206955000250545,0.0,0.5867140810533581,0.6432664977620199,0.037779746189679726,0.14002800840280097,0.325656820614824,1.0,0.1295582525624142
5,751,720,1445,0.2,0.8019222511378247,0.9234170457667086,0.10618003351548097,0.0,0.5881586917272569,0.6432664977620199,0.03953800726972969,0.13018891098082386,0.3321363588325945,1.0,0.1348431604116212
6,738,757,1657,0.2,0.7919298065318037,0.9269908111356807,0.11751471352321363,0.0,0.5868734755893021,0.6448687899327517,0.041585944358720706,0.1386750490563073,0.34531623638763004,1.0,0.1457941476767334
7,713,756,1835,0.2,0.7995308712939209,0.9269908111356807,0.11106821257352616,0.0,0.5905707135114544,0.6448687899327517,0.04114070480412343,0.13608276348795434,0.33973691352135826,1.0,0.14254337566804348
8,699,775,2000,0.2,0.7757658900089763,0.9338251041248882,0.12749903126049586,0.0,0.5860982828862968,0.6448687899327517,0.04334261247407991,0.13608276348795434,0.37301254272053413,1.0,0.15189483621453867
9,708,730,2146,0.2,0.7836771999259194,0.9338251041248882,0.12839362132464965,0.0,0.5876373763842239,0.6448687899327517,0.043292492733076254,0.13608276348795434,0.36757938379580274,1.0,0.15470973213860878
10,716,780,2313,0.2,0.7902957136042762,0.9344558729105137,0.12270072407966294,0.0,0.5913490124316981,0.6432664977620199,0.04145683710465239,0.14002800840280097,0.3642613269328841,1.0,0.1509442976803478
11,709,754,2461,0.2,0.7863345468923096,0.9344558729105137,0.12226831947101474,0.0,0.5886076614248541,0.6432664977620199,0.04299475498601226,0.14002800840280097,0.382311252768828,1.0,0.14506841490633407
12,736,752,2596,0.2,0.7911366984202145,0.9344558729105137,0.12244275459642036,0.0,0.5911889096066039,0.6432664977620199,0.042221297503978454,0.14586499149789456,0.3805775184829524,1.0,0.14480176800842087
13,708,775,2742,0.2,0.7860672890844423,0.9344558729105137,0.12486879332144905,0.0,0.5914414558292959,0.6432664977620199,0.04282664479127006,0.14285714285714285,0.38870299241118594,1.0,0.14910068941053944
14,710,736,2875,0.2,0.7850908934999141,0.9344558729105137,0.13095576878888757,0.0,0.5901814280453096,0.6432664977620199,0.04266463871523997,0.14586499149789456,0.3928704895538275,1.0,0.15428146842584292
15,703,772,3011,0.2,0.7888710678333537,0.9344461861940212,0.13001643183675635,0.0,0.5908860728125922,0.6432664977620199,0.04212545126772727,0.14285714285714285,0.3893467066601031,1.0,0.15560735514200272
16,713,768,3129,0.2,0.7906282801551756,0.9394671948137079,0.12503790369503665,0.0,0.5924062460025034,0.6432664977620199,0.041590501312752715,0.14285714285714285,0.3954330584876695,1.0,0.15169244277146912
