
OPTIMIZING ON FOLD NUMBER 0
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5893
Features active in total: 5893
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 30
Generations completed = 65
Generations completed = 100
Generations completed = 133
Generations completed = 167
Generations completed = 200
Generations completed = 233
Generations completed = 267
Generations completed = 301
Generations completed = 334
Generations completed = 369
Generations completed = 404
Generations completed = 438
Generations completed = 470
   	     	         	        	                 root separation                 	                 root leanness                  
   	     	         	        	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std      	min     	avg     	max	std     
0  	500  	424      	424     	0  	0.568378	0.62405 	0.0759146	0.140028	0.246626	1  	0.142823
1  	546  	641      	649     	0  	0.573058	0.62405 	0.0514286	0.132453	0.276663	1  	0.139226
2  	554  	670      	849     	0  	0.577713	0.630564	0.0476484	0.125   	0.28751 	1  	0.142977
3  	551  	724      	1048    	0  	0.583655	0.630564	0.0436465	0.125   	0.288621	1  	0.139072
4  	580  	716      	1230    	0  	0.584942	0.630564	0.0421277	0.125   	0.300977	1  	0.136802
5  	578  	749      	1428    	0  	0.588509	0.631728	0.0411962	0.125   	0.304189	1  	0.135115
6  	585  	796      	1633    	0  	0.590529	0.631728	0.0403892	0.125   	0.312308	1  	0.136343
7  	576  	788      	1812    	0  	0.592053	0.632776	0.0401815	0.125   	0.320121	1  	0.137001
8  	589  	788      	1969    	0  	0.594011	0.632776	0.0401564	0.125   	0.326631	1  	0.134557
9  	599  	781      	2118    	0  	0.594067	0.6335  	0.0408758	0.125   	0.3382  	1  	0.135699
10 	582  	822      	2281    	0  	0.596896	0.6335  	0.0396094	0.131306	0.339745	1  	0.135862
11 	591  	777      	2426    	0  	0.598042	0.634034	0.0399671	0.144338	0.348841	1  	0.133923
12 	578  	809      	2571    	0  	0.598587	0.634034	0.0400187	0.144338	0.35762 	1  	0.134863
13 	584  	815      	2725    	0  	0.599581	0.635046	0.0407168	0.144338	0.369874	1  	0.131837
14 	582  	814      	2858    	0  	0.600469	0.635046	0.0409191	0.150756	0.377789	1  	0.130893
15 	586  	816      	3003    	0  	0.603055	0.635046	0.0406636	0.174078	0.380579	1  	0.128515
16 	599  	834      	3144    	0  	0.604559	0.636683	0.0406119	0.162221	0.386557	1  	0.128721
17 	607  	823      	3260    	0  	0.606236	0.636683	0.0403737	0.162221	0.395194	1  	0.124784
18 	617  	786      	3357    	0  	0.609171	0.636683	0.0396198	0.162221	0.393472	1  	0.123542
19 	617  	794      	3454    	0  	0.61093 	0.636683	0.0397419	0.162221	0.39409 	1  	0.120644
20 	622  	821      	3558    	0  	0.609821	0.636683	0.041163 	0.185695	0.41049 	1  	0.121743
21 	620  	807      	3650    	0  	0.610172	0.636683	0.0419451	0.185695	0.41615 	1  	0.123339
22 	616  	832      	3760    	0  	0.611331	0.63718 	0.0422358	0.182574	0.418359	1  	0.1241  
23 	622  	760      	3821    	0  	0.613693	0.63718 	0.0410542	0.204124	0.414527	1  	0.120293
24 	636  	844      	3922    	0  	0.612572	0.637323	0.043154 	0.204124	0.42573 	1  	0.12044 
25 	617  	783      	3996    	0  	0.614038	0.637552	0.0419764	0.208514	0.429945	1  	0.114978
26 	635  	779      	4071    	0  	0.61376 	0.637552	0.0429616	0.229416	0.435313	1  	0.115368
27 	630  	776      	4161    	0  	0.613524	0.63795 	0.0428324	0.208514	0.44315 	1  	0.113879
28 	644  	785      	4226    	0  	0.61068 	0.63795 	0.0460449	0.208514	0.45355 	1  	0.115472
29 	639  	777      	4301    	0  	0.609609	0.63795 	0.0479363	0.208514	0.460286	1  	0.116843
30 	622  	759      	4360    	0  	0.611076	0.639905	0.0464005	0.235702	0.461442	1  	0.113486
31 	628  	774      	4412    	0  	0.612246	0.639905	0.0454702	0.229416	0.458248	1  	0.112785
32 	623  	799      	4475    	0  	0.612704	0.639905	0.0457951	0.229416	0.459054	1  	0.113868
33 	623  	776      	4528    	0  	0.61328 	0.640106	0.0458476	0.229416	0.461294	1  	0.111101
34 	622  	770      	4580    	0  	0.613643	0.640106	0.0458969	0.218218	0.458819	1  	0.114379
35 	622  	773      	4642    	0  	0.612716	0.640106	0.047273 	0.229416	0.461611	1  	0.114534
36 	610  	744      	4677    	0  	0.611735	0.640106	0.0485062	0.235702	0.464225	1  	0.116365
37 	595  	765      	4726    	0  	0.61176 	0.640679	0.0486746	0.235702	0.463468	1  	0.118665
38 	603  	760      	4782    	0  	0.613856	0.640679	0.0471946	0.25    	0.456653	1  	0.117901
39 	605  	767      	4824    	0  	0.615151	0.640679	0.0462413	0.25    	0.45449 	1  	0.115451
40 	624  	809      	4875    	0  	0.615422	0.640679	0.0460602	0.25    	0.455986	1  	0.114229
41 	620  	806      	4926    	0  	0.615065	0.640679	0.0465219	0.25    	0.458555	1  	0.114105
42 	632  	781      	4961    	0  	0.615354	0.641027	0.0465564	0.25    	0.457069	1  	0.114755
43 	621  	799      	5000    	0  	0.615408	0.641027	0.0466451	0.242536	0.460111	1  	0.113794
44 	609  	793      	5044    	0  	0.615019	0.641027	0.0473637	0.235702	0.459829	1  	0.117136
45 	600  	810      	5081    	0  	0.616376	0.641027	0.0459662	0.218218	0.4566  	1  	0.116542
46 	611  	819      	5117    	0  	0.617462	0.641027	0.0453658	0.218218	0.453601	1  	0.115199
47 	622  	820      	5151    	0  	0.617999	0.641027	0.0450463	0.27735 	0.457422	1  	0.110493
48 	637  	807      	5179    	0  	0.61821 	0.641262	0.0449846	0.27735 	0.457352	1  	0.110722
49 	637  	780      	5207    	0  	0.616537	0.641262	0.0464697	0.27735 	0.461329	1  	0.112995
50 	623  	785      	5238    	0  	0.618002	0.641367	0.0450723	0.288675	0.457316	1  	0.111616
51 	638  	753      	5258    	0  	0.617881	0.641367	0.0450715	0.267261	0.4605  	1  	0.109987
52 	628  	783      	5279    	0  	0.618026	0.641367	0.0450352	0.267261	0.460288	1  	0.110295
53 	626  	789      	5302    	0  	0.616926	0.641367	0.0464941	0.267261	0.46225 	1  	0.112093
54 	625  	792      	5322    	0  	0.61708 	0.642026	0.0464346	0.25    	0.460661	1  	0.11371 
55 	618  	778      	5347    	0  	0.617178	0.642026	0.0463387	0.25    	0.460336	1  	0.113641
56 	609  	799      	5366    	0  	0.616574	0.642026	0.0470682	0.258199	0.463355	1  	0.114035
57 	617  	789      	5386    	0  	0.616427	0.642026	0.0473189	0.258199	0.464417	1  	0.115214
58 	603  	801      	5411    	0  	0.617177	0.642026	0.0465805	0.25    	0.46072 	1  	0.116717
59 	602  	789      	5433    	0  	0.616883	0.642026	0.0469587	0.242536	0.461972	1  	0.117739
