
OPTIMIZING ON FOLD NUMBER 0
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5896
Features active in total: 5896
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 16
Generations completed = 34
Generations completed = 52
Generations completed = 70
Generations completed = 89
Generations completed = 107
Generations completed = 126
Generations completed = 144
Generations completed = 162
Generations completed = 181
Generations completed = 200
Generations completed = 219
Generations completed = 238
Generations completed = 257
Generations completed = 276
Generations completed = 295
Generations completed = 314
Generations completed = 333
Generations completed = 351
Generations completed = 370
Generations completed = 389
Generations completed = 408
Generations completed = 427
Generations completed = 447
Generations completed = 467
Generations completed = 487
   	     	         	        	            type svm balanced accuracy           	                 root separation                 	                 root leanness                  
   	     	         	        	-------------------------------------------------	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std      	min	avg     	max     	std      	min     	avg     	max	std     
0  	500  	417      	417     	0.2	0.83845 	0.954838	0.13765  	0  	0.567027	0.631665	0.0943761	0.140028	0.261067	1  	0.15651 
1  	676  	648      	653     	0.2	0.834424	0.954838	0.121434 	0  	0.579841	0.631665	0.0453682	0.140028	0.288503	1  	0.13102 
2  	734  	686      	875     	0.2	0.835066	0.954838	0.118912 	0  	0.582175	0.631665	0.0439916	0.140028	0.308415	1  	0.135526
3  	741  	683      	1064    	0.2	0.838392	0.954838	0.117383 	0  	0.583733	0.640336	0.0418953	0.13484 	0.310927	1  	0.144168
4  	716  	740      	1292    	0.2	0.855336	0.954838	0.091966 	0  	0.589151	0.640336	0.0368865	0.128037	0.304335	1  	0.131933
5  	737  	735      	1494    	0.2	0.841209	0.954838	0.0939695	0  	0.585861	0.640336	0.0364383	0.127   	0.336119	1  	0.131186
6  	749  	746      	1667    	0.2	0.832634	0.952932	0.104757 	0  	0.585854	0.640336	0.0386396	0.123091	0.345615	1  	0.145629
7  	736  	733      	1828    	0.2	0.825481	0.952932	0.117594 	0  	0.585967	0.640336	0.0397373	0.128037	0.358254	1  	0.154513
8  	730  	770      	2000    	0.2	0.839023	0.952932	0.109206 	0  	0.588944	0.642092	0.03965  	0.136083	0.347832	1  	0.148909
9  	750  	784      	2183    	0.2	0.829498	0.954964	0.109709 	0  	0.590298	0.642092	0.0390673	0.136083	0.363341	1  	0.151604
10 	739  	748      	2335    	0.2	0.842543	0.954964	0.100811 	0  	0.593943	0.642092	0.0380037	0.136083	0.348537	1  	0.148425
11 	719  	760      	2482    	0.2	0.83096 	0.958844	0.113107 	0  	0.591719	0.642092	0.039487 	0.136083	0.367738	1  	0.152953
12 	726  	784      	2619    	0.2	0.835366	0.958844	0.102373 	0  	0.593543	0.642092	0.0376866	0.133631	0.369092	1  	0.14543 
13 	720  	795      	2770    	0.2	0.830303	0.958844	0.1152   	0  	0.593052	0.642092	0.0398233	0.133631	0.372502	1  	0.162607
14 	732  	790      	2906    	0.2	0.838208	0.958844	0.103389 	0  	0.593345	0.642092	0.0374715	0.133631	0.369005	1  	0.15364 
15 	723  	813      	3042    	0.2	0.840848	0.958844	0.106752 	0  	0.593009	0.642092	0.0379065	0.132453	0.368162	1  	0.15748 
16 	736  	777      	3141    	0.2	0.839105	0.958844	0.100403 	0  	0.595898	0.642092	0.0366257	0.132453	0.373254	1  	0.152169
17 	718  	818      	3252    	0.2	0.835996	0.958844	0.110449 	0  	0.593978	0.642092	0.038337 	0.137361	0.378716	1  	0.157833
18 	719  	801      	3355    	0.2	0.827051	0.959159	0.107774 	0  	0.593449	0.642092	0.0385001	0.141421	0.399871	1  	0.156223
19 	716  	808      	3474    	0.2	0.827689	0.958844	0.108636 	0  	0.597146	0.642092	0.03961  	0.142857	0.392992	1  	0.15813 
20 	712  	793      	3563    	0.2	0.8271  	0.958844	0.107116 	0  	0.593223	0.643588	0.0397015	0.142857	0.403954	1  	0.15135 
21 	725  	790      	3656    	0.2	0.824114	0.959136	0.110785 	0  	0.59232 	0.643588	0.0411801	0.140028	0.405265	1  	0.155918
22 	704  	819      	3753    	0.2	0.8255  	0.959136	0.108106 	0  	0.59194 	0.643588	0.0394567	0.140028	0.405347	1  	0.151909
23 	705  	809      	3854    	0.2	0.82637 	0.959136	0.109504 	0  	0.591119	0.643588	0.0406631	0.140028	0.406505	1  	0.154701
24 	710  	767      	3936    	0.2	0.838446	0.959136	0.104255 	0  	0.593642	0.643588	0.0400938	0.140028	0.383948	1  	0.156842
25 	690  	802      	4010    	0.2	0.830697	0.959136	0.110479 	0  	0.595901	0.643588	0.0412951	0.140028	0.399226	1  	0.157756
26 	697  	787      	4076    	0.2	0.82945 	0.959136	0.111372 	0  	0.594655	0.643588	0.0418151	0.140028	0.401606	1  	0.15393 
27 	694  	792      	4149    	0.2	0.828267	0.959136	0.109201 	0  	0.59574 	0.643588	0.0404821	0.137361	0.403722	1  	0.15115 
28 	708  	827      	4221    	0.2	0.832527	0.959136	0.103449 	0  	0.59611 	0.643588	0.0393728	0.137361	0.399462	1  	0.149688
29 	700  	793      	4283    	0.2	0.828858	0.959136	0.111576 	0  	0.594487	0.643588	0.0425668	0.138675	0.402986	1  	0.154688
30 	708  	777      	4342    	0.2	0.831998	0.959136	0.112656 	0  	0.596694	0.643588	0.0420129	0.138675	0.3945  	1  	0.156527
31 	698  	801      	4407    	0.2	0.831181	0.959136	0.115201 	0  	0.596977	0.643588	0.0426225	0.138675	0.396172	1  	0.15941 
32 	715  	798      	4474    	0.2	0.831529	0.961005	0.111062 	0  	0.594906	0.643588	0.0421461	0.138675	0.399346	1  	0.155602
33 	724  	784      	4536    	0.2	0.835122	0.961005	0.107553 	0  	0.597136	0.643588	0.0423983	0.13484 	0.39679 	1  	0.154561
34 	687  	821      	4592    	0.2	0.840394	0.961005	0.102249 	0  	0.596188	0.643588	0.0409476	0.13484 	0.396064	1  	0.147502
35 	695  	794      	4644    	0.2	0.825228	0.961005	0.114715 	0  	0.595745	0.643588	0.0434212	0.136083	0.4138  	1  	0.154041
36 	703  	817      	4704    	0.2	0.837575	0.961005	0.109417 	0  	0.596794	0.643588	0.0420638	0.137361	0.398751	1  	0.153892
37 	710  	814      	4757    	0.2	0.836704	0.961005	0.107659 	0  	0.598082	0.643588	0.0417614	0.137361	0.399237	1  	0.152754
