gen,evals,gen_feats,explored,type svm balanced accuracy_min,type svm balanced accuracy_avg,type svm balanced accuracy_max,type svm balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,5106,5106,0.2,0.7921747566983299,0.8854697375884355,0.11072247758023998,0.14002800840280097,0.2369701367783482,1.0,0.13517159928218847
1,383,4193,5188,0.2,0.7614770832638162,0.8879580915133797,0.13296705089241506,0.12598815766974242,0.2948387930657258,1.0,0.14772453735663982
2,388,2581,5246,0.2,0.7568126290678148,0.8879580915133797,0.14346360897647226,0.13608276348795434,0.3242644839662118,1.0,0.1603674987972096
3,378,2088,5296,0.2,0.7655646296592054,0.8879580915133797,0.13869920826755167,0.13608276348795434,0.3332411967312207,1.0,0.1619161426929501
4,378,1741,5332,0.2,0.7689448609114906,0.8916946294119474,0.1501860323060528,0.13608276348795434,0.3381109751393774,1.0,0.17538725662988294
5,401,1596,5381,0.2,0.7715704065331583,0.8923235111748795,0.1491984230706889,0.13483997249264842,0.34908456784894587,1.0,0.17227107407670544
6,372,1197,5425,0.2,0.7751142497301305,0.8956243139165003,0.148620344621009,0.13608276348795434,0.35643364808026534,1.0,0.17556660615525088
7,363,1150,5460,0.2,0.7723500915778126,0.9030450749215353,0.15564797010159137,0.13608276348795434,0.36789844163177227,1.0,0.18003767892007294
8,376,1040,5489,0.2,0.7765061377939426,0.9030450749215353,0.15795002737435898,0.13608276348795434,0.36239048365474796,1.0,0.18675897828635224
9,376,954,5520,0.2,0.7846165704519684,0.9030450749215353,0.15057159387725874,0.13608276348795434,0.3640213849471559,1.0,0.179400233449351
10,373,937,5551,0.2,0.7940317138161256,0.9030450749215353,0.1369611823595965,0.13245323570650439,0.36268480856545493,1.0,0.17032275524959808
11,369,876,5583,0.2,0.812524459564421,0.9030450749215353,0.12773191096781286,0.13245323570650439,0.3385094114610491,1.0,0.17189853496986643
12,365,845,5603,0.2,0.8154542888991305,0.9079525546648126,0.12203635346996451,0.13130643285972254,0.3461716538615085,1.0,0.16170483791785573
