gen,evals,gen_feats,explored,survival SKSurv Cox model concordance index_min,survival SKSurv Cox model concordance index_avg,survival SKSurv Cox model concordance index_max,survival SKSurv Cox model concordance index_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,162,162,0.7015737998194139,0.8517649247276439,0.8948087812122899,0.03876530544764989,0.20851441405707477,0.34464087046076586,0.7071067811865476,0.11516210087595305
1,400,151,176,0.5,0.8560083327004379,0.8948087812122899,0.03609852561883581,0.21320071635561044,0.3573777125650842,1.0,0.11891314741390074
2,429,150,186,0.5,0.8568081561226297,0.8948087812122899,0.03877403678463387,0.21320071635561044,0.3636845279285214,1.0,0.12488665006074881
3,420,153,188,0.5,0.8575227072310406,0.8948087812122899,0.03933841603860959,0.21320071635561044,0.3644958477010609,1.0,0.12591237514159212
4,423,158,190,0.5,0.857869814899201,0.8948087812122899,0.03987692087266023,0.21320071635561044,0.3659340898367699,1.0,0.12638362121355753
5,407,151,191,0.5,0.8579609136477557,0.8948087812122899,0.04047718209531162,0.21320071635561044,0.3662760835840261,1.0,0.12743158429708454
6,407,151,191,0.5,0.8583482941360134,0.8988582567529936,0.04061772015875954,0.21320071635561044,0.366036027234843,1.0,0.12744759530664204
7,416,152,193,0.5,0.8583584402926508,0.8988582567529936,0.04060049996244647,0.21320071635561044,0.3671102461858488,1.0,0.12700307271136532
8,402,143,194,0.5,0.8579896247352388,0.8988582567529936,0.04142363287232668,0.21320071635561044,0.3686103736370047,1.0,0.1288254516772283
9,413,156,194,0.5,0.8578709560095524,0.8988582567529936,0.041843381251035594,0.21320071635561044,0.3689931014588531,1.0,0.1298274548965012
10,409,158,194,0.5,0.8580458511598862,0.8988582567529936,0.041780751820048444,0.21320071635561044,0.36837037307617415,1.0,0.12963953371140405
11,407,150,194,0.5,0.8580311785355645,0.8988582567529936,0.04187395358420491,0.21320071635561044,0.36875689952655605,1.0,0.12993380958802395
12,405,144,194,0.5,0.8580655114216518,0.8988582567529936,0.04186462991439591,0.21320071635561044,0.3686184012815745,1.0,0.129887006066141
13,388,146,194,0.5,0.8581419698235488,0.8988582567529936,0.04189860447714527,0.21320071635561044,0.3683475435856287,1.0,0.13000838440559223
14,411,149,194,0.5,0.8579772832755289,0.8988582567529936,0.04237894597032663,0.21320071635561044,0.36850148380062253,1.0,0.13046870372388847
15,403,157,194,0.5,0.8578127992540273,0.8988582567529936,0.0424515571200661,0.21320071635561044,0.3692923079615843,1.0,0.13072923409311993
16,402,149,194,0.5,0.8578862176484984,0.8988582567529936,0.04238949693816083,0.21320071635561044,0.3690770397882958,1.0,0.13051741015278534
17,401,151,194,0.5,0.857323873657207,0.8988582567529936,0.04282635421650558,0.21320071635561044,0.3714586945758139,1.0,0.13102022627628207
18,406,146,194,0.5,0.8573728530079406,0.8988582567529936,0.04281888456408858,0.21320071635561044,0.3713062879908525,1.0,0.13108527042256177
19,408,152,194,0.5,0.8574074166898727,0.8988582567529936,0.042817699631587006,0.21320071635561044,0.3711564580765914,1.0,0.13108577398112412
20,404,159,194,0.5,0.8573730293747838,0.8988582567529936,0.042818885315181986,0.21320071635561044,0.3713062879908525,1.0,0.13108527042256177
21,411,153,194,0.5,0.8573730293747838,0.8988582567529936,0.042818885315181986,0.21320071635561044,0.3713062879908525,1.0,0.13108527042256177
22,409,148,194,0.5,0.8573730293747838,0.8988582567529936,0.042818885315181986,0.21320071635561044,0.3713062879908525,1.0,0.13108527042256177
23,407,163,194,0.5,0.8571479264238036,0.8988582567529936,0.04316828729859671,0.21320071635561044,0.3719040049722979,1.0,0.13193098716955678
24,399,152,194,0.5,0.8571479264238034,0.8988582567529936,0.043168287298596716,0.21320071635561044,0.3719040049722979,1.0,0.13193098716955678
25,421,155,194,0.5,0.8571225186282204,0.8988582567529936,0.04316373512742529,0.21320071635561044,0.3720080890643289,1.0,0.13189593541446556
26,399,156,194,0.5,0.8570984749331241,0.8988582567529936,0.04316629982615079,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
27,396,153,194,0.5,0.8571020777954989,0.8988582567529936,0.043165489850005234,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
28,387,152,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
29,417,158,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
