gen,evals,gen_feats,explored,survival SKSurv Cox model concordance index_min,survival SKSurv Cox model concordance index_avg,survival SKSurv Cox model concordance index_max,survival SKSurv Cox model concordance index_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,102,102,0.41334368712027975,0.6219874641833887,0.8528005907008648,0.09876138660287485,0.14002800840280097,0.25705818704034805,1.0,0.1649915829578666
1,510,345,346,0.5,0.7020451507383104,0.8743995535707163,0.06583201067192226,0.14433756729740643,0.3163784647411637,1.0,0.13765688864723566
2,500,368,539,0.5,0.7351651168072599,0.8743995535707163,0.06664748139588789,0.16222142113076254,0.35981232359789816,1.0,0.13804986675236286
3,500,412,740,0.5,0.7550624608054581,0.8743995535707163,0.06347871222300035,0.16222142113076254,0.3578000221131083,1.0,0.13998034808023413
4,500,448,926,0.5,0.7680499065950357,0.8743995535707163,0.060882182513668275,0.16222142113076254,0.35459642573705585,1.0,0.13909365613237754
5,500,445,1081,0.5,0.7763678942550151,0.8814569288242118,0.059199262206774635,0.16222142113076254,0.3517925240491338,1.0,0.1388854602543876
6,500,432,1218,0.5,0.7829143805034962,0.8859230972057963,0.05922346955311143,0.17149858514250885,0.3502419168497651,1.0,0.14017699036849635
7,500,464,1352,0.5,0.7918238994142166,0.8859230972057963,0.057069596001188105,0.17149858514250885,0.341757597794778,1.0,0.1388608611005044
8,500,457,1481,0.5,0.7979968583792478,0.889077029544155,0.05602571157973719,0.17149858514250885,0.33947325361543423,1.0,0.13666148099330044
9,500,477,1594,0.5,0.8024128652423942,0.889077029544155,0.05632717786886478,0.17407765595569785,0.3385708312832776,1.0,0.13666162894636003
10,500,486,1699,0.5,0.8081580555036442,0.889077029544155,0.055496689882516416,0.17407765595569785,0.3327386172792221,1.0,0.1341988744983252
11,500,490,1792,0.5,0.8098421043182945,0.889077029544155,0.05680247048228095,0.1796053020267749,0.33602107692986444,1.0,0.13543675234436914
12,500,478,1876,0.5,0.8124623746119457,0.889077029544155,0.05740423845246499,0.1796053020267749,0.3362647940329246,1.0,0.13507127814200842
13,500,501,1951,0.5,0.812271676133204,0.892426525534939,0.05861846734655561,0.1796053020267749,0.341646493785887,1.0,0.13494234212831616
14,500,488,2012,0.5,0.8149059294726397,0.892426525534939,0.05785121007758258,0.18257418583505536,0.3401827735591689,1.0,0.13334174468917206
15,500,524,2092,0.5,0.8169477613742658,0.892426525534939,0.05898638156439398,0.18257418583505536,0.33967898953527786,1.0,0.1345092553073641
16,500,505,2160,0.5,0.8195224493805898,0.892426525534939,0.05883241722322117,0.18569533817705186,0.3377825977827247,1.0,0.134000319615464
17,500,494,2211,0.5,0.8213617182705606,0.8992131008466223,0.059275991720853266,0.18569533817705186,0.3378575393826974,1.0,0.13385154420642353
18,500,532,2258,0.5,0.8242658547383864,0.8992131008466223,0.05872110843109269,0.1889822365046136,0.3345068569945515,1.0,0.13257433287165446
19,500,515,2300,0.5,0.8259794912586674,0.8992131008466223,0.05905172256231017,0.18569533817705186,0.3342899232957124,1.0,0.13287824089985636
20,500,510,2349,0.5,0.8275673249403238,0.8992131008466223,0.05915722534063311,0.18257418583505536,0.33456794795686756,1.0,0.13271542377444842
21,500,530,2389,0.5,0.8275376976940266,0.8992131008466223,0.060408065507111634,0.18257418583505536,0.338616116590993,1.0,0.13344201743291795
22,500,539,2418,0.5,0.8286997564628205,0.8992131008466223,0.060643099009570024,0.18257418583505536,0.3392293196913074,1.0,0.1330284384607793
23,500,524,2448,0.5,0.8296336646275702,0.8992131008466223,0.06085759306400341,0.18257418583505536,0.34033907360168075,1.0,0.13343168383215698
24,500,536,2476,0.5,0.8299141718677578,0.8992131008466223,0.061861679711889946,0.18257418583505536,0.34280524963611914,1.0,0.13395723661251632
25,500,500,2502,0.5,0.8306679950947946,0.9027754800286573,0.06294190911955971,0.18257418583505536,0.3448721559116077,1.0,0.1352484100442615
